"track","artist","stream_on_youtube","stream_on_spotify"
"Así Nací","Grupo Marca Registrada","0","7683887"
"NEED A FAVOR","Jelly Roll","0","2910931"
"From Yesterday","Thirty Seconds To Mars","0","76739075"
"Truly","Lionel Richie","0","41831518"
"I Go to Sleep - 2018 Remaster","Pretenders","0","8998166"
"The Hand That Feeds","Nine Inch Nails","0","95955017"
"Rape Me","Nirvana","0","190780281"
"Baby Beluga","Raffi","0","48897763"
"On The Road Again - Live","Sheryl Crow","0","1948126"
"If I Ever Feel Better","Phoenix","0","165027787"
"TOGETHER","Kirk Franklin","0","40518898"
"Come Around Again","Armin van Buuren","0","21656243"
"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)","Claude Debussy","0","66137762"
"It's Been Awhile","Staind","0","243252259"
"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")","KK","0","53822901"
"Raining Blood","Slayer","0","153811288"
"Foregone, Pt. 2","In Flames","0","2376164"
"O Holy Night - 1968 Version","Perry Como","0","7967376"
"Cara da Derrota - Ao Vivo","Gusttavo Lima","0","32872413"
"Me Quiere Besar","Alexis y Fido","0","28068507"
"Te Quiero Pa´Mi","Zion & Lennox","0","265885539"
"Unstoppable - R3HAB Remix","Sia","0","34819346"
"Huwag Kang Matakot","Eraserheads","0","14035958"
"One Minute Man (feat. Ludacris)","Missy Elliott","0","34078715"
"The City's Yours","Jamie Foxx","0","20500255"
"Oh No","Mos Def","0","24372202"
"Aadat Se Majboor","Salim–Sulaiman","0","8037914"
"Soy Yo","Los Yonic's","0","31408291"
"Merry Christmas Everyone","Shakin' Stevens","0","350658024"
"How Great Is Our God","Chris Tomlin","0","82424075"
"Every Breath You Take","The Police","0","1404555748"
"Zindagi Ki Yehi Reet Hai (From ""Koi Jaane Na"")","Laxmikant–Pyarelal","0","1581311"
"Better Be Home Soon","Crowded House","0","69216589"
"Baby Jane - 2008 Remaster","Rod Stewart","0","67064566"
"REMEDY","Alesso","0","309151426"
"Dígale","David Bisbal","0","194589768"
"Deixaria Tudo (Dejaria Todo)","Leonardo","0","9214427"
"Ain't No Mountain High Enough","Marvin Gaye","0","931115362"
"Beautiful","Snoop Dogg","0","202521145"
"Ain't Talkin' 'Bout Love - 2015 Remaster","Van Halen","0","126323886"
"The Departure","Max Richter","0","86888037"
"Yaaro Manathile","Bombay Jayashri","0","5287674"
"Silver Stallion","Kris Kristofferson","0","19385881"
"I'm Gonna Miss Her","Brad Paisley","0","51348342"
"Tender","Blur","0","68028435"
"How You Remind Me","Nickelback","0","718418845"
"20 Rosas","Los Ángeles Azules","0","38212866"
"Wespn Slow","Dybbukk","0","7529341"
"Sangria","Blake Shelton","0","158093054"
"Un Velero Llamado Libertad","José Luis Perales","0","26631324"
"Un Millón de Primaveras","Vicente Fernández","0","150251570"
"Daydream in Blue - Acoustic","I Monster","0","4143685"
"Angel","First Aid Kit","0","5252743"
"De Niña a Mujer","Julio Iglesias","0","23617633"
"À Sua Maneira (De Música Ligera) - Ao Vivo","Capital Inicial","0","45240010"
"Invéntame","Marco Antonio Solís","0","81684233"
"Amazing Grace (My Chains Are Gone)","Chris Tomlin","0","72376065"
"Ajj Din Chadheya","Rahat Fateh Ali Khan","0","41325126"
"Sauce y la Palma","Los Amables Del Norte","0","215090"
"Try Me","James Brown","0","35528590"
"Better Man","Robbie Williams","0","45956641"
"Te Esperaré","Julio Jaramillo","0","9036362"
"Todo Tiene Su Final","Héctor Lavoe","0","22573910"
"Wrong Way","Sublime","0","132799627"
"Walk","Foo Fighters","0","192681635"
"I Wanna Go To Santa Claus Land","Bobby Helms","0","232020"
"Beach Waves and Soothing Brown Noise","Ocean Waves For Sleep","0","54256600"
"Say Something (feat. Chris Stapleton)","Justin Timberlake","0","448484025"
"Carry on Wayward Son","Kansas","0","505197082"
"No Hay Lugar Más Alto (En Vivo) [feat. Christine D'clario]","Miel San Marcos","0","71151053"
"Pet Sematary","Ramones","0","64885381"
"Ignition - Remix","R. Kelly","0","560871023"
"Gouge Away","Pixies","0","37664196"
"Stabbing In The Dark","Ice Nine Kills","0","31890977"
"Baby I'm-a Want You","Bread","0","54333758"
"Twinkle, Twinkle, Little Star","The Wiggles","0","27571946"
"Tratar de Estar Mejor","Diego Torres","0","32102854"
"Evil Ways","Santana","0","56760004"
"Once upon a time in America (Deborah's Theme)","Ennio Morricone","0","20801342"
"Money, Money, Money - From 'Mamma Mia!' Original Motion Picture Soundtrack","Meryl Streep","0","73969584"
"E-Pro","Beck","0","38454946"
"Savage","Megan Thee Stallion","0","385594221"
"(I Left My Heart) In San Francisco","Tony Bennett","0","44798744"
"Thooliyile Ada Vantha - Male Version","Mano","0","2735341"
"Playa Sola","Los Invasores De Nuevo León","0","57654380"
"Mientes Tan Bien","Sin Bandera","0","224299945"
"Swing, Swing","The All-American Rejects","0","134499290"
"Romance en Re sostenido","PXNDX","0","15064802"
"One of These Mornings","Moby","0","21523519"
"Redlight","Sting","0","40723648"
"Depende","Jarabe De Palo","0","82605071"
"Hosanna","Hillsong UNITED","0","71578871"
"Halaga","Parokya Ni Edgar","0","43466837"
"On The Way (feat. Mila J)","Jhené Aiko","0","47089853"
"Song #3","Stone Sour","0","90974498"
"Un velero llamado Libertad","José Luis Perales","0","62939952"
"3AM","Matchbox Twenty","0","219798163"
"Upside Down","Diana Ross","0","151170314"
"Pudhu Vellai Mazhai (From ""Roja"")","Sujatha","0","20038962"
"Learning To Fly","Tom Petty and the Heartbreakers","0","205496070"
"A Horse with No Name","America","0","503532637"
"Ven Aquí","Los Bunkers","0","65571500"
"California Blue","Roy Orbison","0","19564125"
"Transatlanticism","Death Cab for Cutie","0","52411461"
"God Save the Rave","Scooter","0","61498397"
"I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston","0","914287347"
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach","0","227984734"
"Elderly Woman Behind the Counter in a Small Town - Remastered","Pearl Jam","0","76691205"
"Sometimes,IDontUnderstand","surrenderdorothy","0","5620855"
"Yeshua","Fernandinho","0","38547032"
"¿Qué pides tú?","Alex Ubago","0","20868526"
"Pasos de gigantes","Bacilos","0","59038763"
"Papa Was A Rollin' Stone - Single Version","The Temptations","0","130351788"
"Dancing In The Moonlight (It's Caught Me In It's Spotlight)","Thin Lizzy","0","75145393"
"La Vida Es Un Carnaval","Celia Cruz","0","164271709"
"Todo Se Derrumbó Dentro de Mí","Emmanuel","0","56954456"
"Life Is A Rollercoaster - 2020 Version","Ronan Keating","0","3260831"
"Sweet Caroline","Neil Diamond","0","555209503"
"Pepas","Farruko","0","1174282383"
"Do You Hear What I Hear? - Remastered 2006","Bing Crosby","0","149519185"
"I Gotta Feeling","Black Eyed Peas","0","1001227038"
"Pork And Beans","Weezer","0","52766362"
"Schwanengesang, D. 957: Ständchen ""Leise flehen meine Lieder""","Franz Schubert","0","8002140"
"Mutlu Ol Yeter","Müslüm Gürses","0","18215343"
"BLUE CHEESE (feat. Lazza)","Nko","0","10768167"
"Through The Years - Single Version","Kenny Rogers","0","58736505"
"La Murga","Willie Colón","0","60528540"
"3 X 4 - Ao Vivo","Engenheiros Do Hawaii","0","26003843"
"Down By the Sea","Men At Work","0","4411325"
"It Was A Good Day","Ice Cube","0","741538710"
"Then The Morning Comes","Smash Mouth","0","11646418"
"Blood","Breaking Benjamin","0","71408368"
"Larger Than Life","Backstreet Boys","0","148105948"
"Sorrow - From ""Gladiator"" Soundtrack","The Lyndhurst Orchestra","0","12160580"
"Father Christmas","The Kinks","0","11253163"
"Esse Cara Sou Eu","Roberto Carlos","0","35880528"
"Papo Furado / Quero Mais / História de Cinema / Amor Eterno","Pixote","0","12957139"
"We Are The World - Live","Laura Pausini","0","48806476"
"Stand Back","Stevie Nicks","0","24023935"
"All Star - Ao Vivo","Nando Reis","0","87962981"
"It's Always You - Vocal Version","Chet Baker","0","52963093"
"X","Xzibit","0","90283256"
"One, Two Step (feat. Missy Elliott)","Ciara","0","413777209"
"Mi Caballo Pobre","Los Invasores De Nuevo León","0","13945758"
"Cry","Mandy Moore","0","47060191"
"Yallah Goodbye (feat. Gringo)","Summer Cem","0","57895289"
"Soldiers Prayer AM","Outlawz","0","2380657"
"La Recia","Los Dareyes De La Sierra","0","10607889"
"In Too Deep","Sum 41","0","385959962"
"Acuérdate De Mi","Banda Cuisillos","0","17806164"
"Break Ya Neck","Busta Rhymes","0","220334731"
"On My Way","Farruko","0","529555988"
"Sé Que Estás Con Él","Silvestre Dangond","0","2078183"
"Try a Little Tenderness","Otis Redding","0","118607879"
"Get Down Tonight - 2004 Remaster","KC & The Sunshine Band","0","57263692"
"Ódiame","Julio Jaramillo","0","29912411"
"I'm Good (Blue)","David Guetta","0","647071452"
"Eres Mi Mundo","Grupo Yndio","0","8912434"
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)","Claudio Abbado","0","39575743"
"Wild Child","Enya","0","69803747"
"El Primer Tonto","Cardenales De Nuevo León","0","46177227"
"Landslide - Remastered","The Smashing Pumpkins","0","50020524"
"La Media Vuelta","Eros Ramazzotti","0","18235057"
"Tainted Love - Jamie Jones 4Z Remix","Soft Cell","0","1411896"
"All of Me","Billie Holiday","0","76055672"
"No Piensa En Ti","Inspector","0","37396670"
"Rock and Roll - Remaster","Led Zeppelin","0","201606097"
"Your Love Is King","Sade","0","133280367"
"Crosstown Traffic","Jimi Hendrix","0","59822511"
"Tum Se Hi","Pritam","0","105143682"
"Tranquillo (Melt My Heart)","Carly Simon","0","1805545"
"Love Is Madness (feat. Halsey)","Thirty Seconds To Mars","0","43354693"
"He's so Shy","The Pointer Sisters","0","13515840"
"Párate Y Mira","Los Pericos","0","29369639"
"Mwaka Moon - Remix","Kalash","0","54933310"
"Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano) [Brahms Lullaby]","Yo-Yo Ma","0","42238569"
"225 - Tanz mit der Giftschlange - Teil 02","TKKG","0","299613"
"(Shake, Shake, Shake) Shake Your Booty","KC & The Sunshine Band","0","47486504"
"All The Things She Said","t.A.T.u.","0","392515942"
"Love X Love","George Benson","0","16332677"
"Ayúdame","Mi Banda El Mexicano","0","32377405"
"Dilemma (Remake)","Vedo","0","30257128"
"Mamma Mia - From 'Mamma Mia!' Original Motion Picture Soundtrack","Meryl Streep","0","128036576"
"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Lang Lang","0","46296543"
"Khud Ko Tere","Mahalakshmi Iyer","0","5802740"
"Duel of the Fates","London Symphony Orchestra","0","91702045"
"Supe Perder","Los Caminantes","0","60902496"
"Alucinado","Tiziano Ferro","0","20243755"
"Sir Duke","Stevie Wonder","0","260138692"
"DANCE: I. when you're broken open","London Philharmonic Orchestra","0","8856597"
"Nocturne No. 19 in E Minor, Op. 72, No. 1","Frédéric Chopin","0","38921654"
"Relight My Fire (feat. Lulu)","Take That","0","47020083"
"Call The Doctor","J.J. Cale","0","12755638"
"Amarantine","Enya","0","40281170"
"Soy Sabalero","Los Palmeras","0","33322403"
"Cacho a Cacho","Estopa","0","35066598"
"Loco in Acapulco","Four Tops","0","65470962"
"Sativa","Jhené Aiko","0","310187797"
"Quiero Que Sepas","Cardenales De Nuevo León","0","68634733"
"Miedo","Pepe Aguilar","0","46555810"
"We Wish You A Merry Christmas","John Denver","0","51130997"
"The Bridge of Khazad Dum","Howard Shore","0","24971485"
"Savior","Rise Against","0","538725200"
"My Girl","The Temptations","0","683928892"
"Estar contigo","Alex Ubago","0","47280638"
"Ogni volta","Vasco Rossi","0","27763517"
"O Descobridor dos Sete Mares","Lulu Santos","0","22211550"
"Whispers in the Dark","Skillet","0","104101818"
"Miss You","Aaliyah","0","12627717"
"Digital Love","Daft Punk","0","115484456"
"Vou Festejar","Zeca Pagodinho","0","6191893"
"Mammas Don't Let Your Babies Grow up to Be Cowboys","Willie Nelson","0","142956049"
"Machine Gun","Commodores","0","22448160"
"Let's Stay Together","Al Green","0","415197366"
"Rishte Naate - From ""De Dana Dan""","Rahat Fateh Ali Khan","0","23672647"
"Unity","Hardwell","0","62706095"
"La Mesa Del Rincón","Los Tigres Del Norte","0","112947529"
"The Middle - Acoustic Version","Jimmy Eat World","0","17643837"
"Say","Method Man","0","21460766"
"At Your Best (You Are Love)","Aaliyah","0","80149721"
"Fancy Clown","Madlib","0","44020873"
"Sheena Is a Punk Rocker - 2017 Remaster","Ramones","0","56257025"
"Rollin' (Air Raid Vehicle)","Limp Bizkit","0","370151906"
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez","0","638746688"
"My Sweet Lord - Remastered 2014","George Harrison","0","414148052"
"This Guy's In Love With You, Pare","Parokya Ni Edgar","0","21977409"
"Chove Chuva","Jorge Ben Jor","0","28585172"
"Age Ain't Nothing But a Number","Aaliyah","0","27785203"
"Let Me Blow Ya Mind","Eve","0","332471672"
"Kathalikkum Penin Kaikal (From ""Kaadhalan"")","S. P. Balasubrahmanyam","0","12662889"
"Píntame","Elvis Crespo","0","35764252"
"I'm On 2.0","Mark Morrison","0","8457613"
"Ella Se Contradice (feat. Plan B)","Baby Rasta","0","58858159"
"No More Tears","Ozzy Osbourne","0","108213989"
"Dead And Gone","T.I.","0","204833456"
"Sorriu Para Mim","João Gilberto","0","22595724"
"Calaverada","Gipsy Kings","0","6208700"
"Soldado Del Amor","Mijares","0","53019901"
"Tuesday's Gone","Lynyrd Skynyrd","0","103002999"
"Love Lies (with Normani)","Khalid","0","843423744"
"Unconditional II (Race and Religion) (feat. Peter Gabriel)","Peter Gabriel","0","4851243"
"Buy U a Drank (Shawty Snappin') (feat. Yung Joc)","T-Pain","0","513981867"
"No Bailes De Caballito","Mi Banda El Mexicano","0","46934794"
"Sweetness","Jimmy Eat World","0","142712159"
"Noche De Sexo","Wisin & Yandel","0","218642391"
"Earth","The Lyndhurst Orchestra","0","24422351"
"Sexual Healing - Kygo Remix","Marvin Gaye","0","220164864"
"They Can't Take That Away From Me","Ella Fitzgerald","0","56662229"
"A View to a Kill","Duran Duran","0","59888563"
"Still...","ARASHI","0","4831660"
"Caballero","Alejandro Fernández","0","156464615"
"People of the Sun","Rage Against The Machine","0","43683776"
"Now You've Got Something to Die For","Lamb of God","0","29042336"
"Saving All My Love for You","Whitney Houston","0","127309650"
"So Long, Marianne","Leonard Cohen","0","54494351"
"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 - ""Moonlight"": I. Adagio sostenuto","Ludwig van Beethoven","0","14996324"
"Valentine Mashup 2019 - DJ Notorious & Lijo George","Harshdeep Kaur","0","10364413"
"Lose You","Afrojack","0","5304310"
"N 2 Gether Now","Limp Bizkit","0","56642751"
"Keinen gesehen","Kool Savas","0","2413186"
"Sweet Dreams (Are Made of This) - Remastered","Dave Stewart","0","989478518"
"Real World","Matchbox Twenty","0","66168984"
"I Am Above","In Flames","0","43691311"
"The Attack of the Dead Men","Sabaton","0","46040519"
"Six Pieces, Op. 51, TH 143: VI. Valse sentimentale. Tempo di Valse","Pyotr Ilyich Tchaikovsky","0","14506290"
"El Comerciante","Grupo Marca Registrada","0","69408990"
"Wannabe","Spice Girls","0","832914421"
"4:00 AM","2 Chainz","0","256532435"
"Something's Got A Hold On Me","Etta James","0","104404758"
"Ai Que Saudade D'Ocê","Zé Ramalho","0","32089480"
"On BS","21 Savage","0","100595022"
"SUVs","Luciano","0","46467844"
"Pacha Elai (From ""Love Today"")","Yuvan Shankar Raja","0","18641790"
"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato","Edvard Grieg","0","22322833"
"Dom de Sonhar / Encaixe Perfeito / Só Me Dá Prazer","Belo","0","7246882"
"Shape Of My Heart","Sting","0","247351792"
"Still Strugglin'","Raekwon","0","24742914"
"Your Song","Parokya Ni Edgar","0","117551068"
"Under The Table","Fiona Apple","0","17950081"
"Sabotage","Beastie Boys","0","298200376"
"Oceans (Where Feet May Fail)","Hillsong UNITED","0","368424821"
"Material Girl","Madonna","0","313667204"
"Perdóname","Banda Cuisillos","0","29537657"
"A Little Less Talk And A Lot More Action","Toby Keith","0","24439297"
"La Cosa Mas Bella","Eros Ramazzotti","0","165616502"
"The Ship Song - 2010 Remastered Version","Nick Cave & The Bad Seeds","0","11866428"
"That Old Feeling","Chet Baker","0","31247039"
"Sabiá - Ao Vivo","Zé Ramalho","0","15306852"
"Vamos a Darle Con Todo","Los Inquietos Del Norte","0","40637014"
"White Wedding - Pt. 1","Billy Idol","0","204401113"
"That Smell","Lynyrd Skynyrd","0","44875967"
"Diamonds (feat. Capital Bra)","Summer Cem","0","83837568"
"Winter 1 - 2012","Daniel Hope","0","10780238"
"Red Dirt Road","Brooks & Dunn","0","135333873"
"Hot In The City","Billy Idol","0","28057858"
"Californication","Red Hot Chili Peppers","0","1055738398"
"I Want Your Soul","Armand Van Helden","0","18175143"
"Rag Doll","Aerosmith","0","61272691"
"Something In The Way","Nirvana","0","310202569"
"Another Love - Slowed and Muffled","Dybbukk","0","19326087"
"Mi Corazoncito","Aventura","0","126485433"
"Tudo Vai Dar Certo","Natiruts","0","24192861"
"Killer Queen - Remastered 2011","Queen","0","612430173"
"Eu Vou Estar - Ao Vivo","Capital Inicial","0","5368716"
"In My Dreams","REO Speedwagon","0","32673964"
"Mayakkama Kalakkama (From ""Thiruchitrambalam"")","Dhanush","0","32529869"
"Don't Stop Believin'","Journey","0","1466430410"
"Deja Vu","Gustavo Cerati","0","92059705"
"Skinny Life","Kingpin Skinny Pimp","0","1666927"
"Sky Walker (feat. Travis Scott)","Miguel","0","503421240"
"The Great Escape","Patrick Watson","0","29325998"
"Kapitel 04: Das große Gewitter (Folge 153)","Benjamin Blümchen","0","66183"
"Ruby Lee","Bill Withers","0","3531820"
"Solo Una Patada","Ramon Ayala Y Sus Bravos Del Norte","0","9141348"
"Janie Jones - Remastered","The Clash","0","17773912"
"Sussudio - 2016 Remaster","Phil Collins","0","123149378"
"Rolling Like A Ball","Ludovico Einaudi","0","13213932"
"Big And Chunky","will.i.am","0","46190091"
"Samjhawan","Shreya Ghoshal","0","84959335"
"Ropa Interior","Kendo Kaponi","0","10348683"
"Quédate","Luciano Pereyra","0","10438556"
"Need You Tonight","INXS","0","308850389"
"Best Friend","Brandy","0","11452674"
"Téléphone","Booba","0","13599840"
"Rebelde","Anahí","0","35807900"
"Llueve Sobre Mojado","Camilo Sesto","0","12555795"
"No, No, No","Eve","0","13010004"
"Deal With It (feat. Kelis)","Kelis","0","72313339"
"Roll Me Up and Smoke Me When I Die - Live","Vince Gill","0","9999321"
"Queen Bitch","Lil' Kim","0","8658237"
"Esta Cabron (Remix) [feat. Anuel Aa, Yomo, Pusho, Almighty, D.Ozi & Jamby ""El Favo""]","Ñejo","0","52529221"
"Tujh Mein Rab Dikhta Hai - Ii","Shreya Ghoshal","0","25942155"
"Dance the Night Away - 2015 Remaster","Van Halen","0","62301207"
"Peaches & Cream","112","0","91182232"
"Move Along","The All-American Rejects","0","214055383"
"Obsesion","Aventura","0","343220984"
"All Star - Owl City Remix","Smash Mouth","0","2029410"
"La Mitad","Camilo","0","266678074"
"The Imperial March (Darth Vader's Theme)","London Symphony Orchestra","0","44976720"
"Gimme Back My Bullets","Lynyrd Skynyrd","0","20755421"
"Stay","Zedd","0","1098764242"
"It's Gonna Be Me","*NSYNC","0","198506125"
"The Ecstasy Of Gold","Ennio Morricone","0","57417003"
"The Reflex - Single Version; 2010 Remaster","Duran Duran","0","51335830"
"Te has perdido quién soy","Vanesa Martín","0","29455865"
"Imitation Of Life","R.E.M.","0","47811032"
"The Christmas Waltz","Tony Bennett","0","8998899"
"Throw It Back (feat. Keith Urban)","Keith Urban","0","44716225"
"Scum Of The Earth","Rob Zombie","0","13503619"
"Earth","Gavin Greenaway","0","24422351"
"Tá Vendo Aquela Lua","Exaltasamba","0","58475335"
"Ice Dance","Danny Elfman","0","25100188"
"We Go Together - From “Grease”","Olivia Newton-John","0","47861007"
"Like a Virgin","Madonna","0","209852541"
"All Things Must Pass - Remastered 2014","George Harrison","0","32360983"
"Check the Rhime","A Tribe Called Quest","0","63828868"
"You Drive Me Crazy","Shakin' Stevens","0","23718171"
"Louis","Franco De Vita","0","17645919"
"Turandot, SC 91 / Act III: ""Nessun dorma!""","Luciano Pavarotti","0","75381240"
"Santa Claus Is Coming To Town","Brenda Lee","0","1827873"
"El ataque de las chicas cocodrilo","Hombres G","0","144532527"
"Hey There Delilah","Plain White T's","0","887369479"
"Hielo","Zoé","0","48920109"
"Te Lloré","Conjunto Primavera","0","35273948"
"Pare Ko","Eraserheads","0","41072872"
"Forbidden Friendship","John Powell","0","25216831"
"Now And Forever","Richard Marx","0","84174605"
"I Can't Get Next To You","The Temptations","0","23082936"
"Bad Girlfriend","Theory of a Deadman","0","170137910"
"Acoustic #3","The Goo Goo Dolls","0","26712790"
"Coração Bobo - Ao Vivo","Alceu Valença","0","22586940"
"Ain't No Sunshine","Bill Withers","0","545720692"
"Hell Yeah","Little Big Town","0","13408404"
"Life We Live (feat. Namond Lumpkin & Edgar Fletcher)","Project Pat","0","9744687"
"Waltz #2 (XO)","Elliott Smith","0","38696452"
"You Are So Beautiful","Joe Cocker","0","162383972"
"This Is What It Feels Like","Armin van Buuren","0","257603194"
"Mad World","Gabry Ponte","0","110168917"
"Y Control","Yeah Yeah Yeahs","0","20046405"
"By Your Side","Sade","0","171556706"
"Tomorrow","Europe","0","7762084"
"Bombtrack","Rage Against The Machine","0","117728088"
"Dirty Deeds Done Dirt Cheap","AC/DC","0","269837425"
"Living in America - From ""Rocky IV"" Soundtrack","James Brown","0","51518418"
"Crazy He Calls Me","Billie Holiday","0","28846850"
"Gnossienne No. 1","Erik Satie","0","43255565"
"Snowman","Sia","0","644668215"
"Deep Pink Noise","Ocean Sounds","0","7186349"
"Chains","Nick Jonas","0","145072310"
"Breaker, Breaker","GZA","0","4401199"
"Honey","Moby","0","46526640"
"The Kiss Of Venus (Dominic Fike)","Paul McCartney","0","39109023"
"Little Dark Age","MGMT","0","433515389"
"I'm Gonna Make You Love Me","The Temptations","0","19860322"
"Donde Estan las Gatas","Nicky Jam","0","126333112"
"The Ludlows","James Horner","0","41883037"
"Slip Slidin' Away","Paul Simon","0","30138797"
"Kabira - VIP Remix","Rekha Bhardwaj","0","2045481"
"Tus Besos","Los Caligaris","0","23520437"
"O Christmas Tree","Tony Bennett","0","62807987"
"Me Enamoré de Ti","Chayanne","0","70993793"
"Ya No Te Amo","Los Invasores De Nuevo León","0","24763868"
"Ready To Fly - Hardcore Mix","Sub Focus","0","888348"
"Obstacle 1 - 2012 Remaster","Interpol","0","37929415"
"El Ignorante","Descemer Bueno","0","3170275"
"Te He Prometido","Inspector","0","18249130"
"Es schneit","Rolf Zuckowski","0","12950544"
"London","James Newton Howard","0","19200392"
"Si Te Entregas A Mi","Frankie Ruiz","0","11078450"
"Grita","Jarabe De Palo","0","69979597"
"Your Mama Don't Dance","Poison","0","14000874"
"For My Lover","Tracy Chapman","0","21337362"
"Naan Sonnadhum Mazhai","Naresh Iyer","0","8021606"
"Roses","Outkast","0","292224239"
"The Goodness (feat. Blessing Offor)","TobyMac","0","4954761"
"Together - (Cedric Gervais Remix) [Edit]","Cedric Gervais","0","5959330"
"My Generation - Stereo Version","The Who","0","208986875"
"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky","0","75073139"
"Theme From Schindler's List","John Williams","0","63930114"
"Pa' Madrid","El Barrio","0","44691457"
"Stelle","Fabri Fibra","0","8096317"
"Y, ¿Si Fuera Ella? - + Es +","Vanesa Martín","0","179230151"
"This Train is Bound for Glory","Tom Morello","0","12606792"
"Look For The Good - Single Version","Jason Mraz","0","36296564"
"Hello","Ice Cube","0","58527463"
"Kasih Putih","Glenn Fredly","0","33962853"
"Finish Line","Skillet","0","43731841"
"Hectic (with Colde)","RM","0","14595178"
"La Muralla Verde","Los Enanitos Verdes","0","247489800"
"The Last One (feat. Evan Felker of Turnpike Troubadours)","Dropkick Murphys","0","882908"
"River Flows in You - Orchestra Version","Yiruma","0","8770855"
"La Gran Señora","Jenni Rivera","0","60467416"
"No Me Lo Puedo Explicar","Tiziano Ferro","0","27595574"
"Quando O Sol Bater Na Janela Do Teu Quarto","Legião Urbana","0","24348019"
"The Only Thing","Sufjan Stevens","0","115351781"
"Overkill","Men At Work","0","65611091"
"All For You","Janet Jackson","0","79895244"
"Christmas All Over Again","Tom Petty and the Heartbreakers","0","44767879"
"Lay All Your Love On Me","ABBA","0","252601051"
"Esos Tus Ojos","Grupo Laberinto","0","20686886"
"Vizhi Moodi","Karthik","0","6563742"
"Hoy Aprendí","Adolescent's Orquesta","0","15931977"
"Dream On","Aerosmith","0","771341288"
"Symphony Of Destruction","Megadeth","0","232533442"
"I'll Be Seeing You","Billie Holiday","0","70721147"
"Inside Of You","Hoobastank","0","8231611"
"Deja","Banda El Recodo","0","67586245"
"Fade to Black","Benny Benassi","0","2544920"
"Can't Get You Off My Mind","Lenny Kravitz","0","42639955"
"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster","The Notorious B.I.G.","0","144272231"
"Never Too Much","Luther Vandross","0","223133027"
"Mexican Folksong","Traditional","0","143545"
"Strychnine","The Cramps","0","1698461"
"Truckin' - 2013 Remaster","Grateful Dead","0","49128232"
"Message In A Bottle","The Police","0","350399696"
"Y Cómo Es El","Marc Anthony","0","121549488"
"Valentine's Mashup 2019","Sunidhi Chauhan","0","55399812"
"He Tratado","Víctor Manuelle","0","69117125"
"Indietro","Tiziano Ferro","0","21265524"
"Shut Your Eyes","Snow Patrol","0","27014086"
"Best of You","Foo Fighters","0","499422347"
"Ocean Breathes Salty","Modest Mouse","0","36639195"
"To Zion (feat. Carlos Santana)","Ms. Lauryn Hill","0","62682051"
"The What","Method Man","0","45081499"
"Rough Boy","ZZ Top","0","42719911"
"Can't Anymore","Shenseea","0","11406276"
"Saayndhu Saayndhu","Ilaiyaraaja","0","7324110"
"Domination","Pantera","0","66031676"
"Onde Você Mora?","Nando Reis","0","17621244"
"Super Trouper","Cher","0","64000309"
"Get Gone","Fiona Apple","0","7846047"
"Don't Think I Don't Think About It","Darius Rucker","0","31933387"
"Channel 1 Suite","The Cinematic Orchestra","0","14085799"
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Yo-Yo Ma","0","227984734"
"Gonna Be You (feat. Gloria Estefan and Debbie Harry)","Cyndi Lauper","0","224394"
"Too Young","Phoenix","0","44855468"
"El Ultimo Adiós - Varios Artistas Version","Luis Fonsi","0","169769959"
"Unstoppable","Sia","0","731776557"
"Omen","The Prodigy","0","62110915"
"Define Dancing","Thomas Newman","0","21466124"
"Don't Stop Dancing","Creed","0","44444093"
"Tomorrow's Gonna Be a Brighter Day","Jim Croce","0","11451094"
"I Thought I Lost You - Soundtrack","John Travolta","0","6305737"
"Olsun","Sertab Erener","0","68074663"
"8 Days of Christmas","Destiny's Child","0","88298034"
"Rock Out","Motörhead","0","4985433"
"Long Train Runnin'","The Doobie Brothers","0","267561421"
"Song 2 - 2012 Remaster","Blur","0","615338765"
"Memories","Maroon 5","0","1651772677"
"Noah (Stand Still)","Billy Ray Cyrus","0","2228939"
"Symphony No. 25 in G Minor, K. 183: I. Allegro con brio","Academy of St. Martin in the Fields","0","26979627"
"Hit the Road Jack","Ray Charles","0","207720281"
"Sleigh Ride","Andy Williams","0","56794506"
"Gotta Go My Own Way","Disney","0","147021007"
"I Can See It in Your Eyes","Men At Work","0","6766138"
"Le Cygne","Camille Saint-Saëns","0","25065885"
"Nostálgico","Chris Brown","0","381634599"
"Twistin' the Night Away","Sam Cooke","0","72618180"
